#,Keyword,Tags,Position,"Previous Position",Volume,"Traffic (desc)","Keyword Difficulty","SERP features",URL,Language,Location,Country,"Last Update"
1,"Vé máy bay",,12,,91000,1887.98,43,"Site links",https://vietair.com.vn/,vi,Vietnam,vn,2021-02-23T04:52:09Z
2,"hành lý xách tay vietjet",,2,,800,211.89,0,"Top stories, Site links",https://vietair.com.vn/tin-tuc/quy-dinh-ve-hanh-ly-xach-tay-cua-vietjet,vi,Vietnam,vn,2021-02-23T04:52:09Z
3,"vé máy bay đi hà nội",,8,,3000,126.84,12,"Site links",https://vietair.com.vn/ve-noi-dia/ve-may-bay-di-ha-noi,vi,Vietnam,vn,2021-02-23T04:52:09Z
4,"vé máy bay quốc tế",,5,,500,43.01,9,"Site links",https://vietair.com.vn/ve-quoc-te,vi,Vietnam,vn,2021-02-23T04:52:09Z
5,"vé máy bay cần thơ phú quốc",,4,,250,35.93,0,"Top stories, Site links",https://vietair.com.vn/ve-noi-dia/ve-may-bay-vietnam-airlines-tu-can-tho-di-phu-quoc,vi,Vietnam,vn,2021-02-23T04:52:09Z
6,"bảng giá vé máy bay vietnam airline",,5,,450,35.84,2,"Image pack, Site links, Top stories, Featured snippet",https://vietair.com.vn/ve-may-bay-theo-hang/gia-ve-may-bay-vietnam-airlines-noi-dia,vi,Vietnam,vn,2021-02-23T04:52:09Z
7,"vé máy bay đà nẵng sài gòn",,8,,800,32.3,1,"Image pack, Site links",https://vietair.com.vn/ve-noi-dia/ve-may-bay-vietjet-air-da-nang-di-ho-chi-minh,vi,Vietnam,vn,2021-02-23T04:52:09Z
8,"tra cứu giá vé máy bay",,1,,90,31.4,1,"Site links",https://vietair.com.vn/tin-tuc/huong-dan-cach-tra-cuu-ve-may-bay-nhanh-chinh-xac-khong-can-cai-app,vi,Vietnam,vn,2021-02-23T04:52:09Z
9,"vé máy bay cần thơ đà lạt",,5,,200,27.17,0,"Image pack, Site links",https://vietair.com.vn/ve-noi-dia/ve-may-bay-tu-can-tho-di-da-lat,vi,Vietnam,vn,2021-02-23T04:52:09Z
10,"vé máy bay hải phòng đà nẵng",,6,,250,24.36,0,"Site links",https://vietair.com.vn/ve-noi-dia/ve-may-bay-hai-phong-di-da-nang,vi,Vietnam,vn,2021-02-23T04:52:09Z
11,"vé máy bay cần thơ đà nẵng",,5,,200,24.23,0,"Site links",https://vietair.com.vn/ve-noi-dia/ve-may-bay-can-tho-di-da-nang,vi,Vietnam,vn,2021-02-23T04:52:09Z
12,"kiểm tra vé máy bay vietnam airline",,6,,150,19.27,0,"Site links",https://vietair.com.vn/ve-may-bay-theo-hang/kiem-tra-ve-may-bay-vietnam-airlines,vi,Vietnam,vn,2021-02-23T04:52:09Z
13,"máy bay vietnam airline",,10,,1300,18.57,12,"Image pack, Site links",https://vietair.com.vn/ve-may-bay-theo-hang/ve-may-bay-vietnam-airlines,vi,Vietnam,vn,2021-02-23T04:52:09Z
14,"hãng hàng không vietjet air",,4,,200,17.07,8,"Site links, Image pack",https://vietair.com.vn/ve-may-bay-theo-hang/ve-may-bay-vietjet-air,vi,Vietnam,vn,2021-02-23T04:52:09Z
15,"vé máy bay đà nẵng hà nội",,8,,900,14.99,0,"Adwords top, Site links",https://vietair.com.vn/ve-noi-dia/ve-may-bay-vietjet-air-da-nang-di-ha-noi,vi,Vietnam,vn,2021-02-23T04:52:09Z
16,"vé máy bay huế sài gòn",,6,,200,14.31,0,"Image pack, Site links",https://vietair.com.vn/ve-noi-dia/ve-may-bay-vietjet-air-hue-di-ho-chi-minh,vi,Vietnam,vn,2021-02-23T04:52:09Z
17,"vé máy bay điện tử",,4,,250,13.82,0,"Site links, Top stories",https://vietair.com.vn/tin-tuc/cach-di-may-bay-bang-ve-dien-tu,vi,Vietnam,vn,2021-02-23T04:52:09Z
18,"vé economy",,1,,40,13.45,0,"Site links",https://vietair.com.vn/tin-tuc/tat-tan-tat-ve-hang-ghe-economy,vi,Vietnam,vn,2021-02-23T04:52:09Z
19,"hãng hàng không jetstar pacific airlines",,2,,100,12.4,9,"Site links, Top stories",https://vietair.com.vn/ve-may-bay-theo-hang/ve-may-bay-jetstar-pacific,vi,Vietnam,vn,2021-02-23T04:52:09Z
20,"vé máy bay điện tử vietnam airline",,3,,100,12.33,2,"Image pack, Site links, Top stories",https://vietair.com.vn/ve-may-bay-theo-hang/ve-may-bay-dien-tu-cua-vietnam-airlines,vi,Vietnam,vn,2021-02-23T04:52:09Z
21,"vé máy bay đà lạt hà nội",,9,,200,11.38,0,"Image pack, Site links",https://vietair.com.vn/ve-noi-dia/ve-may-bay-vietjet-air-da-lat-di-ha-noi,vi,Vietnam,vn,2021-02-23T04:52:09Z
22,"vé máy bay đi sài gòn",,7,,250,10.57,9,"Image pack, Site links",https://vietair.com.vn/ve-noi-dia/ve-may-bay-di-sai-gon,vi,Vietnam,vn,2021-02-23T04:52:09Z
23,"vé máy bay hải phòng sài gòn",,7,,200,10.4,0,"Site links",https://vietair.com.vn/ve-noi-dia/ve-may-bay-hai-phong-di-ho-chi-minh,vi,Vietnam,vn,2021-02-23T04:52:09Z
24,"đổi vé vietnam airlines",,8,,150,10.03,0,"Site links, Featured snippet",https://vietair.com.vn/ve-may-bay-theo-hang/huong-dan-doi-ve-may-bay-vietnam-airlines,vi,Vietnam,vn,2021-02-23T04:52:09Z
25,"vé máy bay nha trang vinh",,4,,100,9.81,0,"Adwords top, Site links",https://vietair.com.vn/ve-noi-dia/ve-may-bay-nha-trang-di-vinh,vi,Vietnam,vn,2021-02-23T04:52:09Z
26,"vé máy bay huế hà nội",,6,,100,8.68,0,"Image pack, Site links",https://vietair.com.vn/ve-noi-dia/ve-may-bay-vietjet-air-hue-di-ha-noi,vi,Vietnam,vn,2021-02-23T04:52:09Z
27,"vé máy bay buôn ma thuột đi vinh",,3,,70,8.44,0,"Image pack, Site links",https://vietair.com.vn/ve-noi-dia/ve-may-bay-buon-me-thuot-di-vinh,vi,Vietnam,vn,2021-02-23T04:52:09Z
28,"bảng giá vé máy bay nội địa",,6,,150,8.31,1,"Image pack, Site links",https://vietair.com.vn/ve-may-bay-theo-hang/gia-ve-may-bay-vietnam-airlines-noi-dia,vi,Vietnam,vn,2021-02-23T04:52:09Z
29,"vé máy bay cần thơ nha trang",,4,,90,8.3,0,"Image pack, Site links",https://vietair.com.vn/cxr/ve-may-bay-tu-can-tho-di-nha-trang.html,vi,Vietnam,vn,2021-02-23T04:52:09Z
30,"vé máy bay vinh đà lạt",,7,,150,8.19,0,"Site links",https://vietair.com.vn/ve-noi-dia/ve-may-bay-vietjet-air-vinh-di-da-lat,vi,Vietnam,vn,2021-02-23T04:52:09Z
31,"vé máy bay nội địa",,7,,150,7.74,16,"Site links, Adwords top",https://vietair.com.vn/ve-noi-dia,vi,Vietnam,vn,2021-02-23T04:52:09Z
32,"vé máy bay nha trang sài gòn",,10,,250,7.05,0,"Site links",https://vietair.com.vn/ve-noi-dia/ve-may-bay-nha-trang-di-ho-chi-minh,vi,Vietnam,vn,2021-02-23T04:52:09Z
33,"vé máy bay đà lạt phú quốc",,3,,40,5.39,0,"Image pack, Site links",https://vietair.com.vn/pqc/ve-may-bay-da-lat-di-phu-quoc.html,vi,Vietnam,vn,2021-02-23T04:52:09Z
34,"vé máy bay đi cần thơ",,10,,150,4.32,0,"Top stories, Site links",https://vietair.com.vn/ve-noi-dia/ve-may-bay-di-can-tho,vi,Vietnam,vn,2021-02-23T04:52:09Z
35,"vé máy bay vinh phú quốc",,4,,30,3.06,0,"Image pack, Site links",https://vietair.com.vn/ve-noi-dia/ve-may-bay-tu-vinh-di-phu-quoc,vi,Vietnam,vn,2021-02-23T04:52:09Z
36,"vé máy bay đi buôn mê thuột",,10,,60,2.37,3,"Image pack, Site links",https://vietair.com.vn/ve-noi-dia/ve-may-bay-di-buon-ma-thuot,vi,Vietnam,vn,2021-02-23T04:52:09Z
37,"vé máy bay pleiku hà nội",,9,,40,1.1,0,"Site links",https://vietair.com.vn/ve-noi-dia/ve-may-bay-vietjet-air-pleiku-di-ha-noi,vi,Vietnam,vn,2021-02-23T04:52:09Z
38,"giá vé máy bay hà nội sài gòn vietjet",,3,,,0,0,"Image pack, Site links",https://vietair.com.vn/ve-noi-dia/ve-may-bay-vietjet-air-ha-noi-di-ho-chi-minh,vi,Vietnam,vn,2021-02-23T04:52:09Z
39,"chuyến bay từ hàn quốc về việt nam",,2,,,0,0,"Top stories, Site links",https://vietair.com.vn/cam-nang-du-lich-han-quoc/lich-bay-tu-han-quoc-ve-viet-nam.html,vi,Vietnam,vn,2021-02-23T04:52:09Z
